model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M01,62ch,1,1,0.31696606786427145,0.3163639258378321,0.31696606786427145,0.3163639258378321
M01,62ch,1,2,0.429940119760479,0.4257716264948791,0.429940119760479,0.4257716264948791
M01,62ch,1,3,0.3337325349301397,0.324465493965041,0.3337325349301397,0.324465493965041
M01,62ch,1,4,0.5405189620758483,0.5280004089021326,0.5405189620758483,0.5280004089021326
M01,62ch,1,5,0.38203592814371257,0.3765247220469281,0.38203592814371257,0.3765247220469281
M01,62ch,1,6,0.3660678642714571,0.3560839949601026,0.3660678642714571,0.3560839949601026
M01,62ch,1,7,0.6363273453093813,0.6316660106368049,0.6363273453093813,0.6316660106368049
M01,62ch,1,8,0.3473053892215569,0.3452584807185026,0.3473053892215569,0.3452584807185026
M01,62ch,1,9,0.30419161676646705,0.2539116088469852,0.30419161676646705,0.2539116088469852
M01,62ch,1,10,0.481437125748503,0.477763680175736,0.481437125748503,0.477763680175736
M01,62ch,1,11,0.269061876247505,0.2411108027137975,0.269061876247505,0.2411108027137975
M01,62ch,1,12,0.5281437125748503,0.5267339107235128,0.5281437125748503,0.5267339107235128
M01,62ch,1,13,0.4127744510978044,0.40996897148040773,0.4127744510978044,0.40996897148040773
M01,62ch,1,14,0.4403193612774451,0.4400072796442486,0.4403193612774451,0.4400072796442486
M01,62ch,1,15,0.612375249500998,0.6186642566794464,0.612375249500998,0.6186642566794464
M01,62ch,7,1,0.31696606786427145,0.3163639258378321,0.31696606786427145,0.3163639258378321
M01,62ch,7,2,0.429940119760479,0.4257716264948791,0.429940119760479,0.4257716264948791
M01,62ch,7,3,0.3337325349301397,0.324465493965041,0.3337325349301397,0.324465493965041
M01,62ch,7,4,0.5405189620758483,0.5280004089021326,0.5405189620758483,0.5280004089021326
M01,62ch,7,5,0.38203592814371257,0.3765247220469281,0.38203592814371257,0.3765247220469281
M01,62ch,7,6,0.3660678642714571,0.3560839949601026,0.3660678642714571,0.3560839949601026
M01,62ch,7,7,0.6363273453093813,0.6316660106368049,0.6363273453093813,0.6316660106368049
M01,62ch,7,8,0.3473053892215569,0.3452584807185026,0.3473053892215569,0.3452584807185026
M01,62ch,7,9,0.30419161676646705,0.2539116088469852,0.30419161676646705,0.2539116088469852
M01,62ch,7,10,0.481437125748503,0.477763680175736,0.481437125748503,0.477763680175736
M01,62ch,7,11,0.269061876247505,0.2411108027137975,0.269061876247505,0.2411108027137975
M01,62ch,7,12,0.5281437125748503,0.5267339107235128,0.5281437125748503,0.5267339107235128
M01,62ch,7,13,0.4127744510978044,0.40996897148040773,0.4127744510978044,0.40996897148040773
M01,62ch,7,14,0.4403193612774451,0.4400072796442486,0.4403193612774451,0.4400072796442486
M01,62ch,7,15,0.612375249500998,0.6186642566794464,0.612375249500998,0.6186642566794464
M01,62ch,21,1,0.31696606786427145,0.3163639258378321,0.31696606786427145,0.3163639258378321
M01,62ch,21,2,0.429940119760479,0.4257716264948791,0.429940119760479,0.4257716264948791
M01,62ch,21,3,0.3337325349301397,0.324465493965041,0.3337325349301397,0.324465493965041
M01,62ch,21,4,0.5405189620758483,0.5280004089021326,0.5405189620758483,0.5280004089021326
M01,62ch,21,5,0.38203592814371257,0.3765247220469281,0.38203592814371257,0.3765247220469281
M01,62ch,21,6,0.3660678642714571,0.3560839949601026,0.3660678642714571,0.3560839949601026
M01,62ch,21,7,0.6363273453093813,0.6316660106368049,0.6363273453093813,0.6316660106368049
M01,62ch,21,8,0.3473053892215569,0.3452584807185026,0.3473053892215569,0.3452584807185026
M01,62ch,21,9,0.30419161676646705,0.2539116088469852,0.30419161676646705,0.2539116088469852
M01,62ch,21,10,0.481437125748503,0.477763680175736,0.481437125748503,0.477763680175736
M01,62ch,21,11,0.269061876247505,0.2411108027137975,0.269061876247505,0.2411108027137975
M01,62ch,21,12,0.5281437125748503,0.5267339107235128,0.5281437125748503,0.5267339107235128
M01,62ch,21,13,0.4127744510978044,0.40996897148040773,0.4127744510978044,0.40996897148040773
M01,62ch,21,14,0.4403193612774451,0.4400072796442486,0.4403193612774451,0.4400072796442486
M01,62ch,21,15,0.612375249500998,0.6186642566794464,0.612375249500998,0.6186642566794464
M01,6ch,1,1,0.4946107784431138,0.49528163422534643,0.4946107784431138,0.49528163422534643
M01,6ch,1,2,0.30459081836327345,0.2802285691882638,0.30459081836327345,0.2802285691882638
M01,6ch,1,3,0.38083832335329343,0.35916004838912446,0.38083832335329343,0.35916004838912446
M01,6ch,1,4,0.6167664670658682,0.5969486194780629,0.6167664670658682,0.5969486194780629
M01,6ch,1,5,0.4251497005988024,0.4081451828725865,0.4251497005988024,0.4081451828725865
M01,6ch,1,6,0.26027944111776447,0.2597896518207343,0.26027944111776447,0.2597896518207343
M01,6ch,1,7,0.5161676646706587,0.5109887453765937,0.5161676646706587,0.5109887453765937
M01,6ch,1,8,0.36686626746506984,0.37257562518461085,0.36686626746506984,0.37257562518461085
M01,6ch,1,9,0.5453093812375249,0.5317654055752483,0.5453093812375249,0.5317654055752483
M01,6ch,1,10,0.5768463073852296,0.5822565401502451,0.5768463073852296,0.5822565401502451
M01,6ch,1,11,0.32295409181636725,0.32760159486921514,0.32295409181636725,0.32760159486921514
M01,6ch,1,12,0.31656686626746505,0.3073786271125183,0.31656686626746505,0.3073786271125183
M01,6ch,1,13,0.3021956087824351,0.2643679499906233,0.3021956087824351,0.2643679499906233
M01,6ch,1,14,0.5241516966067864,0.5117180950351449,0.5241516966067864,0.5117180950351449
M01,6ch,1,15,0.43313373253493015,0.44730658671811685,0.43313373253493015,0.44730658671811685
M01,6ch,7,1,0.4946107784431138,0.49528163422534643,0.4946107784431138,0.49528163422534643
M01,6ch,7,2,0.30459081836327345,0.2802285691882638,0.30459081836327345,0.2802285691882638
M01,6ch,7,3,0.38083832335329343,0.35916004838912446,0.38083832335329343,0.35916004838912446
M01,6ch,7,4,0.6167664670658682,0.5969486194780629,0.6167664670658682,0.5969486194780629
M01,6ch,7,5,0.4251497005988024,0.4081451828725865,0.4251497005988024,0.4081451828725865
M01,6ch,7,6,0.26027944111776447,0.2597896518207343,0.26027944111776447,0.2597896518207343
M01,6ch,7,7,0.5161676646706587,0.5109887453765937,0.5161676646706587,0.5109887453765937
M01,6ch,7,8,0.36686626746506984,0.37257562518461085,0.36686626746506984,0.37257562518461085
M01,6ch,7,9,0.5453093812375249,0.5317654055752483,0.5453093812375249,0.5317654055752483
M01,6ch,7,10,0.5768463073852296,0.5822565401502451,0.5768463073852296,0.5822565401502451
M01,6ch,7,11,0.32295409181636725,0.32760159486921514,0.32295409181636725,0.32760159486921514
M01,6ch,7,12,0.31656686626746505,0.3073786271125183,0.31656686626746505,0.3073786271125183
M01,6ch,7,13,0.3021956087824351,0.2643679499906233,0.3021956087824351,0.2643679499906233
M01,6ch,7,14,0.5241516966067864,0.5117180950351449,0.5241516966067864,0.5117180950351449
M01,6ch,7,15,0.43313373253493015,0.44730658671811685,0.43313373253493015,0.44730658671811685
M01,6ch,21,1,0.4946107784431138,0.49528163422534643,0.4946107784431138,0.49528163422534643
M01,6ch,21,2,0.30459081836327345,0.2802285691882638,0.30459081836327345,0.2802285691882638
M01,6ch,21,3,0.38083832335329343,0.35916004838912446,0.38083832335329343,0.35916004838912446
M01,6ch,21,4,0.6167664670658682,0.5969486194780629,0.6167664670658682,0.5969486194780629
M01,6ch,21,5,0.4251497005988024,0.4081451828725865,0.4251497005988024,0.4081451828725865
M01,6ch,21,6,0.26027944111776447,0.2597896518207343,0.26027944111776447,0.2597896518207343
M01,6ch,21,7,0.5161676646706587,0.5109887453765937,0.5161676646706587,0.5109887453765937
M01,6ch,21,8,0.36686626746506984,0.37257562518461085,0.36686626746506984,0.37257562518461085
M01,6ch,21,9,0.5453093812375249,0.5317654055752483,0.5453093812375249,0.5317654055752483
M01,6ch,21,10,0.5768463073852296,0.5822565401502451,0.5768463073852296,0.5822565401502451
M01,6ch,21,11,0.32295409181636725,0.32760159486921514,0.32295409181636725,0.32760159486921514
M01,6ch,21,12,0.31656686626746505,0.3073786271125183,0.31656686626746505,0.3073786271125183
M01,6ch,21,13,0.3021956087824351,0.2643679499906233,0.3021956087824351,0.2643679499906233
M01,6ch,21,14,0.5241516966067864,0.5117180950351449,0.5241516966067864,0.5117180950351449
M01,6ch,21,15,0.43313373253493015,0.44730658671811685,0.43313373253493015,0.44730658671811685
M02,62ch,1,1,0.3445109780439122,0.3527205692501928,0.3445109780439122,0.3527205692501928
M02,62ch,1,2,0.5253493013972056,0.5135980573758528,0.5253493013972056,0.5135980573758528
M02,62ch,1,3,0.35808383233532937,0.3494544895175714,0.35808383233532937,0.3494544895175714
M02,62ch,1,4,0.5173652694610779,0.49921398164850406,0.5173652694610779,0.49921398164850406
M02,62ch,1,5,0.3532934131736527,0.3445146743153576,0.3532934131736527,0.3445146743153576
M02,62ch,1,6,0.3904191616766467,0.3940791270470758,0.3904191616766467,0.3940791270470758
M02,62ch,1,7,0.6007984031936128,0.6075800798880826,0.6007984031936128,0.6075800798880826
M02,62ch,1,8,0.4754491017964072,0.48126371380356936,0.4754491017964072,0.48126371380356936
M02,62ch,1,9,0.5037924151696607,0.4803423336687419,0.5037924151696607,0.4803423336687419
M02,62ch,1,10,0.49261477045908186,0.4789562173314831,0.49261477045908186,0.4789562173314831
M02,62ch,1,11,0.2686626746506986,0.21696169789785236,0.2686626746506986,0.21696169789785236
M02,62ch,1,12,0.474251497005988,0.4534530166224755,0.474251497005988,0.4534530166224755
M02,62ch,1,13,0.41437125748502995,0.40843468339321326,0.41437125748502995,0.40843468339321326
M02,62ch,1,14,0.4738522954091816,0.472268594268906,0.4738522954091816,0.472268594268906
M02,62ch,1,15,0.6463073852295409,0.6555965860907045,0.6463073852295409,0.6555965860907045
M02,62ch,7,1,0.3445109780439122,0.3527205692501928,0.3445109780439122,0.3527205692501928
M02,62ch,7,2,0.5253493013972056,0.5135980573758528,0.5253493013972056,0.5135980573758528
M02,62ch,7,3,0.35808383233532937,0.3494544895175714,0.35808383233532937,0.3494544895175714
M02,62ch,7,4,0.5173652694610779,0.49921398164850406,0.5173652694610779,0.49921398164850406
M02,62ch,7,5,0.3532934131736527,0.3445146743153576,0.3532934131736527,0.3445146743153576
M02,62ch,7,6,0.3904191616766467,0.3940791270470758,0.3904191616766467,0.3940791270470758
