Model,Name,Channels,F1_mean,F1_std,Acc_mean,Acc_std,F1_Neutral,F1_Sad,F1_Fear,F1_Happy,PhaseB_ref_F1,Delta_vs_PhaseB,N_runs
M01,LDA,62ch,0.4047,0.1063,0.4081,0.1074,0.4633,0.3976,0.3581,0.3998,0.4182,-0.0135,45
M01,LDA,6ch,0.4345,0.1095,0.4408,0.1078,0.5123,0.4218,0.3288,0.4752,0.417,0.0175,45
M02,SVM,62ch,0.4763,0.0959,0.4811,0.0961,0.5617,0.4841,0.3907,0.4687,0.4472,0.0291,45
M02,SVM,6ch,0.352,0.0718,0.3653,0.0722,0.389,0.3598,0.2689,0.3904,0.4077,-0.0557,45
M03,Random Forest,62ch,0.4648,0.131,0.4702,0.1275,0.4715,0.485,0.4186,0.484,0.4798,-0.015,45
M03,Random Forest,6ch,0.4039,0.1016,0.414,0.0978,0.4445,0.4272,0.3388,0.4051,0.3469,0.057,45
M04,k-NN,62ch,0.3408,0.0601,0.3487,0.0582,0.3009,0.3728,0.3383,0.351,0.3441,-0.0033,45
M04,k-NN,6ch,0.304,0.0475,0.3061,0.0483,0.2962,0.3028,0.2924,0.3247,0.2945,0.0095,45
M05,Logistic Reg,62ch,0.4148,0.115,0.4233,0.1086,0.4627,0.4405,0.3698,0.3861,0.3803,0.0345,45
M05,Logistic Reg,6ch,0.4257,0.103,0.4304,0.1015,0.4842,0.416,0.3322,0.4706,0.4241,0.0016,45
M06,Naive Bayes,62ch,0.3791,0.1091,0.3986,0.1044,0.4173,0.2294,0.4348,0.4349,0.2999,0.0792,45
M06,Naive Bayes,6ch,0.3759,0.0868,0.3834,0.0812,0.4114,0.3232,0.3037,0.4653,0.3841,-0.0082,45
M07,Extra Trees,62ch,0.4717,0.125,0.4765,0.123,0.4929,0.4926,0.4161,0.4851,0.4604,0.0113,45
M07,Extra Trees,6ch,0.4076,0.0977,0.4195,0.0935,0.4338,0.444,0.337,0.4155,0.3934,0.0142,45
M08,Grad Boost,62ch,0.4765,0.1298,0.4821,0.1299,0.5073,0.508,0.4142,0.4767,0.4607,0.0158,45
M08,Grad Boost,6ch,0.4152,0.0871,0.4221,0.0859,0.4537,0.4134,0.3784,0.4151,0.4048,0.0104,45
M09,XGBoost,62ch,0.4791,0.1321,0.4844,0.1323,0.4933,0.5216,0.4153,0.4862,,,45
M09,XGBoost,6ch,0.4089,0.0919,0.4162,0.0893,0.4527,0.3969,0.3711,0.4149,,,45
M10,MLP sklearn,62ch,0.479,0.1169,0.4825,0.1161,0.5406,0.4823,0.3949,0.4983,0.4032,0.0758,45
M10,MLP sklearn,6ch,0.3978,0.083,0.4116,0.0816,0.4173,0.4142,0.3313,0.4282,0.4258,-0.028,45
