model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M11,62ch,1,1,0.41956087824351296,0.41098561570314535,0.41730382293762575,0.4178682278373267
M11,6ch,1,1,0.47744510978043914,0.4773833699765029,0.5223340040241449,0.5231702593164576
M12,62ch,1,1,0.4187624750499002,0.41091734628470494,0.38873239436619716,0.38370713280244917
M12,6ch,1,1,0.44590818363273454,0.4435372039617367,0.3875251509054326,0.3672293264243819
M13,62ch,1,1,0.4159680638722555,0.39860850779064044,0.42977867203219317,0.4193231135730468
M13,6ch,1,1,0.4934131736526946,0.4828370188323978,0.5424547283702214,0.5419408531215284
M14,62ch,1,1,0.3972055888223553,0.4036802512584779,0.36901408450704226,0.3615226785592683
M14,6ch,1,1,0.4099800399201597,0.3923356929767875,0.4289738430583501,0.41454429249284086
M15,62ch,1,1,0.3401197604790419,0.30005688017314447,0.3573440643863179,0.32609897170886903
M15,6ch,1,1,0.4411177644710579,0.43459023101644256,0.4160965794768612,0.4054749059749634
M16,62ch,1,1,0.38203592814371257,0.3298794055608243,0.4084507042253521,0.36113694711334365
M16,6ch,1,1,0.4243512974051896,0.4002996608898074,0.4450704225352113,0.42062380454249104
M17,62ch,1,1,0.3253493013972056,0.28132603769270276,0.33319919517102614,0.24815310477968133
M17,6ch,1,1,0.4095808383233533,0.40290707763883643,0.45432595573440643,0.450117979980613
M18,62ch,1,1,0.39481037924151696,0.36763064796358397,0.38873239436619716,0.36200656960262645
M18,6ch,1,1,0.45189620758483035,0.44517804749352086,0.4301810865191147,0.42638605092663284
M19,62ch,1,1,0.3908183632734531,0.3940139554982063,0.413682092555332,0.4185356553782729
M19,6ch,1,1,0.5045908183632735,0.5000059710748015,0.5617706237424547,0.5627046416866083
M20,62ch,1,1,0.37045908183632736,0.3421264737975564,0.3670020120724346,0.3379457728189866
M20,6ch,1,1,0.46467065868263474,0.4377745960788477,0.4712273641851107,0.4454974082127602
M11,62ch,1,2,0.48263473053892214,0.47956271177546,0.49295774647887325,0.49204075589171137
M11,6ch,1,2,0.3277445109780439,0.31945713524576846,0.3299798792756539,0.3233867715308763
M12,62ch,1,2,0.37445109780439123,0.3706758920055096,0.43138832997987925,0.43177929141815835
M12,6ch,1,2,0.29261477045908185,0.2807320165531485,0.36338028169014086,0.3640326567433908
M13,62ch,1,2,0.49500998003992014,0.47609848239948627,0.5947686116700202,0.5937830317915012
M13,6ch,1,2,0.3728542914171657,0.3401783066009614,0.4442655935613682,0.43104320371797367
M14,62ch,1,2,0.5085828343313373,0.5075539788824366,0.5211267605633803,0.5221255856369469
M14,6ch,1,2,0.3784431137724551,0.3757113934552184,0.40603621730382294,0.4083811036880191
M15,62ch,1,2,0.49181636726546907,0.48797170644241916,0.5215291750503018,0.5182942427316717
M15,6ch,1,2,0.3397205588822355,0.3345897919926756,0.31670020120724346,0.30903512956256574
M16,62ch,1,2,0.5029940119760479,0.4860696729483503,0.5440643863179074,0.5381759618788876
M16,6ch,1,2,0.3449101796407186,0.3393545018949107,0.3517102615694165,0.3493637180407661
M17,62ch,1,2,0.5233532934131736,0.5099993264485476,0.5150905432595574,0.5145410647716142
M17,6ch,1,2,0.39481037924151696,0.4083212002486597,0.337625754527163,0.3499348345387299
M18,62ch,1,2,0.5233532934131736,0.5163758425796878,0.5404426559356137,0.5337022117935756
M18,6ch,1,2,0.3317365269461078,0.3224372387633374,0.3641851106639839,0.3569787097898249
M19,62ch,1,2,0.5604790419161677,0.5594216846687702,0.5694164989939637,0.5649507693158801
M19,6ch,1,2,0.3129740518962076,0.30717939151996154,0.3283702213279678,0.32946847363075066
M20,62ch,1,2,0.4674650698602794,0.4648195007641502,0.4772635814889336,0.47671487465839113
M20,6ch,1,2,0.3273453093812375,0.3399986361904212,0.3436619718309859,0.35490053071370176
M11,62ch,1,3,0.36686626746506984,0.3621738262821122,0.4104627766599598,0.4061871224452822
M11,6ch,1,3,0.3125748502994012,0.3071656809885399,0.29577464788732394,0.2842154752056249
M12,62ch,1,3,0.3205588822355289,0.24777813596570653,0.34808853118712274,0.32093190605560984
