model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M15,62ch,1,1,1,0.2882,0.2877,0.2966,0.2977,1.0,40.2
M15,62ch,1,2,2,0.4735,0.4496,0.4612,0.4561,1.0,37.5
M15,62ch,1,3,3,0.3006,0.2838,0.326,0.3092,1.0,41.7
M15,62ch,1,4,4,0.5529,0.5309,0.5573,0.5371,1.0,40.1
M15,62ch,1,5,5,0.315,0.2806,0.3328,0.3136,1.0,36.8
M15,62ch,1,6,6,0.4483,0.4619,0.4684,0.4772,1.0,38.6
M15,62ch,1,7,7,0.7242,0.7219,0.7143,0.7111,1.0,38.4
M15,62ch,1,8,8,0.2244,0.2108,0.3481,0.3464,1.0,38.5
M15,62ch,1,9,9,0.4299,0.4373,0.4358,0.4465,1.0,38.5
M15,62ch,1,10,10,0.4579,0.4617,0.4567,0.4541,1.0,36.9
M15,62ch,1,11,11,0.2978,0.2899,0.3034,0.2941,1.0,38.2
M15,62ch,1,12,12,0.4758,0.4624,0.4523,0.4493,1.0,41.4
M15,62ch,1,13,13,0.4224,0.4156,0.4382,0.4241,1.0,38.0
M15,62ch,1,14,14,0.5645,0.5571,0.5569,0.5546,1.0,39.8
M15,62ch,1,15,15,0.6228,0.6178,0.5565,0.5542,1.0,40.8
M15,62ch,7,1,1,0.3641,0.3573,0.3666,0.3629,1.0,38.6
M15,62ch,7,2,2,0.388,0.3787,0.4044,0.4036,1.0,40.1
M15,62ch,7,3,3,0.2655,0.2537,0.2986,0.2841,1.0,41.5
M15,62ch,7,4,4,0.58,0.572,0.5706,0.5667,1.0,38.6
M15,62ch,7,5,5,0.3277,0.2671,0.3863,0.3359,1.0,38.4
M15,62ch,7,6,6,0.4527,0.4558,0.4922,0.4946,1.0,38.6
M15,62ch,7,7,7,0.6762,0.6645,0.6346,0.6318,1.0,38.6
M15,62ch,7,8,8,0.3026,0.2886,0.3811,0.3749,1.0,38.2
M15,62ch,7,9,9,0.3497,0.3523,0.3847,0.3964,1.0,38.0
M15,62ch,7,10,10,0.4228,0.4275,0.4423,0.4477,1.0,40.0
M15,62ch,7,11,11,0.2419,0.2201,0.2539,0.2398,1.0,38.3
M15,62ch,7,12,12,0.3645,0.362,0.3956,0.3975,1.0,41.2
M15,62ch,7,13,13,0.4064,0.3946,0.4334,0.4314,1.0,37.8
M15,62ch,7,14,14,0.5445,0.5341,0.5602,0.5553,1.0,39.1
M15,62ch,7,15,15,0.489,0.4707,0.503,0.4929,1.0,38.6
M15,62ch,21,1,1,0.3752,0.3663,0.3767,0.3635,1.0,31.5
M15,62ch,21,2,2,0.5621,0.5448,0.5799,0.575,1.0,38.7
M15,62ch,21,3,3,0.305,0.2913,0.3296,0.2993,1.0,38.5
M15,62ch,21,4,4,0.513,0.4946,0.5235,0.509,1.0,37.8
M15,62ch,21,5,5,0.309,0.2561,0.3425,0.285,1.0,38.7
M15,62ch,21,6,6,0.4232,0.4174,0.4209,0.4234,1.0,39.3
M15,62ch,21,7,7,0.715,0.7049,0.6833,0.6825,1.0,41.2
M15,62ch,21,8,8,0.3812,0.3579,0.4068,0.3958,1.0,38.0
M15,62ch,21,9,9,0.3948,0.399,0.3497,0.3584,1.0,39.1
M15,62ch,21,10,10,0.4507,0.4498,0.4664,0.47,1.0,37.5
M15,62ch,21,11,11,0.2391,0.2177,0.3151,0.3091,1.0,40.2
M15,62ch,21,12,12,0.4375,0.4321,0.4893,0.473,1.0,35.9
M15,62ch,21,13,13,0.4778,0.4684,0.4922,0.4733,1.0,39.9
M15,62ch,21,14,14,0.4926,0.4822,0.5115,0.505,1.0,49.3
M15,62ch,21,15,15,0.5146,0.5154,0.5465,0.5455,1.0,49.4
