model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M21,62ch,1,1,0.33572854291417165,0.3161636888288212,0.3299798792756539,0.28012512616704677
M21,6ch,1,1,0.3996007984031936,0.393501927628663,0.4507042253521127,0.4426123209252582
M23,62ch,1,1,0.3021956087824351,0.29421967813323907,0.30503018108651914,0.29686030402589525
M23,6ch,1,1,0.35768463073852297,0.3390928646663082,0.3561368209255533,0.33841232185281284
M24,62ch,1,1,0.3325349301397206,0.30670199328378456,0.3670020120724346,0.35172159500205563
M24,6ch,1,1,0.4287425149700599,0.41545796798728796,0.43259557344064387,0.42068150441485347
M21,62ch,1,2,0.3584830339321357,0.3620201065059438,0.3963782696177062,0.39597591682867933
M21,6ch,1,2,0.37365269461077844,0.3765560091231912,0.4020120724346076,0.40332041991287143
M23,62ch,1,2,0.3473053892215569,0.3444098708918929,0.3464788732394366,0.34606421082992617
M23,6ch,1,2,0.36966067864271457,0.36270794599371226,0.36861167002012074,0.3621733354170899
M24,62ch,1,2,0.4171656686626746,0.40811333759307844,0.43822937625754527,0.42665480732719574
M24,6ch,1,2,0.30538922155688625,0.3013070016300416,0.30221327967806844,0.2976291133308231
M21,62ch,1,3,0.3345309381237525,0.3147735373050892,0.3879275653923541,0.3669558643453671
M21,6ch,1,3,0.3317365269461078,0.3373237636353209,0.4579476861167002,0.44865826146027615
M23,62ch,1,3,0.2962075848303393,0.289715913307665,0.29698189134808856,0.2907789426180523
M23,6ch,1,3,0.38083832335329343,0.3519315898062805,0.372635814889336,0.34621800085640375
M24,62ch,1,3,0.40039920159680636,0.358821915687186,0.3959758551307847,0.35622923737698714
M24,6ch,1,3,0.32415169660678644,0.30788226432193877,0.338430583501006,0.3187029111800632
M21,62ch,1,4,0.48862275449101794,0.4540406800502674,0.524748490945674,0.47534272008798784
M21,6ch,1,4,0.5269461077844312,0.4915949811851069,0.53682092555332,0.4998893476602094
M23,62ch,1,4,0.35489021956087824,0.3211834671512084,0.3561368209255533,0.32212083969244387
M23,6ch,1,4,0.4622754491017964,0.45308240630895186,0.48088531187122735,0.47659598808882125
M24,62ch,1,4,0.41397205588822356,0.38789065165452197,0.4676056338028169,0.4295199819282626
M24,6ch,1,4,0.44630738522954094,0.43616223913881774,0.4647887323943662,0.4578749881804301
M21,62ch,1,5,0.4303393213572854,0.38308939745307824,0.5046277665995976,0.4346861260525816
M21,6ch,1,5,0.437125748502994,0.3667909157755633,0.4225352112676056,0.34164257781195495
M23,62ch,1,5,0.31177644710578845,0.30399188029803703,0.3130784708249497,0.3050348071661509
M23,6ch,1,5,0.3197604790419162,0.2742890226197761,0.3235412474849095,0.2804283899572887
M24,62ch,1,5,0.25269461077844313,0.20859917139672274,0.22535211267605634,0.18885548526221263
M24,6ch,1,5,0.3265469061876248,0.30604962161498517,0.3517102615694165,0.33027757016929227
M21,62ch,1,6,0.3473053892215569,0.3272501481918544,0.36539235412474846,0.358948187049424
M21,6ch,1,6,0.2558882235528942,0.2624321623264591,0.34849094567404426,0.33085127927395463
M23,62ch,1,6,0.29301397205588825,0.28573198850564835,0.28772635814889336,0.28209062343086044
M23,6ch,1,6,0.35449101796407184,0.3630371625294915,0.36056338028169016,0.3700190364966943
M24,62ch,1,6,0.3189620758483034,0.3250515350520111,0.3899396378269618,0.4095442353682376
M24,6ch,1,6,0.4087824351297405,0.3941551790192914,0.40643863179074446,0.38998642800439065
M21,62ch,1,7,0.6455089820359281,0.6438812489906003,0.6913480885311871,0.6904727113767886
M21,6ch,1,7,0.6079840319361277,0.5936386128881826,0.6016096579476862,0.5890519061156652
M23,62ch,1,7,0.43273453093812375,0.4339888256567133,0.4370221327967807,0.43832816757969467
M23,6ch,1,7,0.38043912175648703,0.37596762506015785,0.3782696177062374,0.37367423855881166
M24,62ch,1,7,0.43193612774451096,0.4175975482883517,0.4370221327967807,0.4248051506498249
M24,6ch,1,7,0.5608782435129741,0.5460991420184598,0.5380281690140845,0.5306508657042758
M21,62ch,1,8,0.481437125748503,0.4714063746878723,0.48732394366197185,0.4765365094432021
M21,6ch,1,8,0.4287425149700599,0.41666164904656233,0.4414486921529175,0.4230643790338116
M23,62ch,1,8,0.3153692614770459,0.30376043516080453,0.3114688128772636,0.29935845369543096
M23,6ch,1,8,0.39560878243512976,0.38108963154052056,0.393158953722334,0.37685314836746814
M24,62ch,1,8,0.4179640718562874,0.4291084765220102,0.4458752515090543,0.4545876128595944
M24,6ch,1,8,0.4223552894211577,0.41196499047705887,0.4181086519114688,0.4089268535865126
M21,62ch,1,9,0.37445109780439123,0.3767764747098782,0.4084507042253521,0.4113711174215777
M21,6ch,1,9,0.35449101796407184,0.3299200943366439,0.4414486921529175,0.43515638013560054
M23,62ch,1,9,0.29860279441117765,0.27912343491111424,0.29859154929577464,0.27925982888142076
M23,6ch,1,9,0.3688622754491018,0.3671484279094044,0.37987927565392354,0.37851384106090197
M24,62ch,1,9,0.3524950099800399,0.31232052609124095,0.3380281690140845,0.3090413280012445
M24,6ch,1,9,0.3520958083832335,0.3552262274007362,0.3758551307847082,0.37951189791383566
M21,62ch,1,10,0.4810379241516966,0.4778994745174829,0.5191146881287726,0.5151278268692033
M21,6ch,1,10,0.4538922155688623,0.4345863399225746,0.4824949698189135,0.4544456603327057
M23,62ch,1,10,0.3465069860279441,0.32546708201517055,0.3476861167002012,0.32633385170432166
M23,6ch,1,10,0.45788423153692615,0.431495517121161,0.4619718309859155,0.4365270717728407
M24,62ch,1,10,0.39840319361277443,0.3779256484752031,0.413682092555332,0.3945486624330039
