relative_path,size_human,num_rows,num_columns,columns,first_rows_preview,status,error,repo_action_hint
C\results\deep_models_seediv\deep_models_all_folds.csv,6.49 MB,10395,35,"f1_macro, f1_weighted, accuracy, f1_per_class, conf_matrix, seed, fold, test_subj, elapsed_s, model, acc, f1, n_test, model_id, ch, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b, n_pseudolabels, delta, theta, alpha, beta, gamma, overall","[{""f1_macro"":0.3062068593,""f1_weighted"":0.302774338,""accuracy"":0.3129740519,""f1_per_class"":""[0.21169354838709678, 0.30940766550522647, 0.3642428285523682, 0.33948339483394835]"",""conf_matrix"":""[[105, 171, 270, 132], [122, 222, 184, 155], [12, 246, 273, 84], [75, 113, 157, 184]]"",""seed"":1.0,""fold"":0.0,""test_subj"":1.0,""elapsed_s"":0.51,""model"":null,""acc"":null,""f1"":null,""n_test"":null,""model_id"":null,""ch"":null,""test_sub"":null,""acc_a"":null,""f1_a"":null,""acc_b"":null,""f1_b"":null,""best_val_f1"":null,""elapsed"":null,""cm_a"":null,""cm_b"":null,""y_true_a"":null,""y_pred_a"":null,""y_true_b"":null,""y_pred_b"":null,""n_pseudolabels"":null,""delta"":null,""theta"":null,""alpha"":null,""beta"":null,""gamma"":null,""overall"":null},{""f1_macro"":0.4175741061,""f1_weighted"":0.4260324335,""accuracy"":0.430738523,""f1_per_class"":""[0.6656101426307448, 0.48326639892904955, 0.11657559198542805, 0.40484429065743943]"",""conf_matrix"":""[[420, 68, 137, 53], [75, 361, 228, 19], [89, 141, 64, 321], [0, 241, 54, 234]]"",""seed"":1.0,""fold"":1.0,""test_su",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M23_6ch_summary.csv,1.30 MB,45,18,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b, n_pseudolabels","[{""model_id"":""M23"",""ch"":""6ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.4623,""f1_a"":0.4458,""acc_b"":0.5368,""f1_b"":0.5265,""best_val_f1"":0.9879,""elapsed"":79.8,""cm_a"":""[[275, 82, 162, 159], [27, 431, 122, 103], [88, 222, 112, 193], [66, 99, 24, 340]]"",""cm_b"":""[[315, 214, 9, 134], [27, 467, 135, 46], [100, 34, 206, 273], [49, 106, 24, 346]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M20_6ch_summary.csv,1.30 MB,45,17,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b","[{""model_id"":""M20"",""ch"":""6ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.479,""f1_a"":0.4745,""acc_b"":0.6036,""f1_b"":0.6014,""best_val_f1"":0.9964,""elapsed"":172.5,""cm_a"":""[[229, 82, 184, 183], [27, 367, 160, 129], [30, 235, 235, 115], [67, 76, 17, 369]]"",""cm_b"":""[[378, 129, 44, 121], [51, 450, 116, 58], [98, 22, 318, 175], [49, 98, 24, 354]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M23_62ch_summary.csv,1.30 MB,45,18,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b, n_pseudolabels","[{""model_id"":""M23"",""ch"":""62ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.3593,""f1_a"":0.362,""acc_b"":0.627,""f1_b"":0.6175,""best_val_f1"":1.0,""elapsed"":67.7,""cm_a"":""[[161, 152, 229, 136], [42, 250, 228, 163], [0, 286, 262, 67], [17, 100, 185, 227]]"",""cm_b"":""[[369, 216, 46, 41], [49, 487, 112, 27], [87, 22, 476, 28], [50, 143, 106, 226]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M22_6ch_summary.csv,1.30 MB,45,17,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b","[{""model_id"":""M22"",""ch"":""6ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.4411,""f1_a"":0.4279,""acc_b"":0.6036,""f1_b"":0.5981,""best_val_f1"":0.5777,""elapsed"":269.0,""cm_a"":""[[121, 131, 210, 216], [0, 357, 190, 136], [90, 182, 320, 23], [61, 95, 66, 307]]"",""cm_b"":""[[391, 169, 27, 85], [27, 502, 59, 87], [88, 134, 266, 125], [50, 110, 24, 341]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M21_6ch_summary.csv,1.30 MB,45,17,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b","[{""model_id"":""M21"",""ch"":""6ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.398,""f1_a"":0.39,""acc_b"":0.594,""f1_b"":0.5852,""best_val_f1"":0.5554,""elapsed"":189.6,""cm_a"":""[[147, 97, 247, 187], [42, 289, 189, 163], [67, 155, 334, 59], [88, 90, 124, 227]]"",""cm_b"":""[[456, 128, 27, 61], [33, 473, 101, 68], [139, 126, 268, 80], [68, 110, 68, 279]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M19_6ch_summary.csv,1.29 MB,45,17,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b","[{""model_id"":""M19"",""ch"":""6ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.4691,""f1_a"":0.4703,""acc_b"":0.5714,""f1_b"":0.5711,""best_val_f1"":1.0,""elapsed"":103.6,""cm_a"":""[[243, 69, 228, 138], [84, 296, 220, 83], [22, 111, 293, 189], [53, 55, 78, 343]]"",""cm_b"":""[[364, 76, 97, 135], [27, 450, 156, 42], [42, 22, 291, 258], [85, 55, 70, 315]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M20_62ch_summary.csv,1.29 MB,45,17,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b","[{""model_id"":""M20"",""ch"":""62ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.3653,""f1_a"":0.3672,""acc_b"":0.6435,""f1_b"":0.6325,""best_val_f1"":1.0,""elapsed"":190.5,""cm_a"":""[[176, 152, 168, 182], [42, 250, 228, 163], [13, 294, 272, 36], [32, 95, 185, 217]]"",""cm_b"":""[[333, 218, 44, 77], [0, 512, 118, 45], [39, 22, 499, 53], [60, 113, 97, 255]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",ok,,KEEP_RESULT_PROVENANCE
C\results\deep_models_seediv\M19_62ch_summary.csv,1.29 MB,45,17,"model_id, ch, seed, fold, test_sub, acc_a, f1_a, acc_b, f1_b, best_val_f1, elapsed, cm_a, cm_b, y_true_a, y_pred_a, y_true_b, y_pred_b","[{""model_id"":""M19"",""ch"":""62ch"",""seed"":1,""fold"":1,""test_sub"":1,""acc_a"":0.321,""f1_a"":0.316,""acc_b"":0.53,""f1_b"":0.5157,""best_val_f1"":1.0,""elapsed"":64.8,""cm_a"":""[[106, 152, 229, 191], [42, 225, 228, 188], [0, 285, 246, 84], [0, 100, 202, 227]]"",""cm_b"":""[[340, 194, 77, 61], [0, 512, 136, 27], [84, 55, 276, 198], [43, 181, 112, 189]]"",""y_true_a"":""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,",ok,,KEEP_RESULT_PROVENANCE
C\checkpoints\all_model_weights\copy_manifest.csv,153.17 KB,858,3,"status, source, destination_or_note","[{""status"":""COPIED"",""source"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\model_M11_ShallowMLP_s1_f01_best.pth"",""destination_or_note"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\all_model_weights\\model_M11_ShallowMLP_s1_f01_best.pth""},{""status"":""COPIED"",""source"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\model_M11_ShallowMLP_s1_f02_best.pth"",""destination_or_note"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\all_model_weights\\model_M11_ShallowMLP_s1_f02_best.pth""},{""status"":""COPIED"",""source"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\model_M11_ShallowMLP_s1_f03_best.pth"",""destination_or_note"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\all_model_weights\\model_M11_ShallowMLP_s1_f03_best.pth""},{""status"":""COPIED"",""source"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\model_M11_ShallowMLP_s1_f04_best.pth"",""destination_or_note"":""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\all_model_weights\\model_M11_ShallowMLP_s1_f04_best.pth""},{""statu",ok,,REVIEW
