notebook,num_imports,imports
00_eda_seediv.ipynb,17,"import os | import numpy as np | import pandas as pd | import matplotlib | import matplotlib.pyplot as plt | import matplotlib.gridspec as gridspec | from matplotlib.patches import Circle | import scipy.io as sio | from scipy import stats | from sklearn.decomposition import PCA | from sklearn.manifold import TSNE | from sklearn.preprocessing import StandardScaler | import pathlib |     import scipy |     from sklearn import __version__ as skv; print(""Scikit-learn:"", skv) |     import torch |                 from scipy.stats import gaussian_kde"
00b_eda_faced.ipynb,10,import os | import numpy as np | import pandas as pd | import matplotlib | import matplotlib.pyplot as plt | from scipy import stats | from sklearn.decomposition import PCA | from sklearn.manifold import TSNE | import pathlib |     import torch
00c_phaseB_reproduce.ipynb,12,"import os | import numpy as np | import pandas as pd | import matplotlib | import matplotlib.pyplot as plt | 
import torch | import torch.nn as nn | import torch.nn.functional as F | from torch.utils.data import DataLoader, TensorDataset | from torch.cuda.amp import autocast, GradScaler | from sklearn.metrics import accuracy_score, f1_score, confusion_matrix | from sklearn.linear_model import LogisticRegression"
01_classical_ml.ipynb,22,"import importlib | import os | import numpy as np | import pandas as pd | import matplotlib | import matplotlib.pyplot as plt | import matplotlib.gridspec as gridspec | import seaborn as sns | from tqdm import tqdm | from sklearn.discriminant_analysis import LinearDiscriminantAnalysis | from sklearn.svm import SVC | from sklearn.ensemble import (RandomForestClassifier, ExtraTreesClassifier, | from sklearn.neighbors import KNeighborsClassifier | from sklearn.linear_model import LogisticRegression | from sklearn.naive_bayes import GaussianNB | from sklearn.neural_network import MLPClassifier | from sklearn.preprocessing import LabelEncoder | from sklearn.metrics import (f1_score, accuracy_score, confusion_matrix, | import joblib | import xgboost as xgb |         from sklearn.model_selection import GridSearchCV | 
from sklearn.ensemble import HistGradientBoostingClassifier"
02_deep_models.ipynb,24,"import os | import numpy as np | import pandas as pd | from pathlib import Path | from sklearn.metrics import f1_score, accuracy_score | from sklearn.model_selection import train_test_split | import torch | import torch.nn as nn | import torch.nn.functional as F | from torch.utils.data import DataLoader, TensorDataset, WeightedRandomSampler | from torch.cuda.amp import autocast, GradScaler | import glob | import json | import re | import matplotlib.pyplot as plt | import matplotlib.patches as mpatches | 
import copy | from torch.utils.data import TensorDataset, DataLoader | from torch.cuda.amp import GradScaler, autocast | from sklearn.metrics import ( | 
import json | from sklearn.metrics import confusion_matrix, accuracy_score, balanced_accuracy_score | from torch.utils.data import DataLoader, TensorDataset | from torch.cuda.amp import autocast"
03-5-and-04b-faced-models-kaggle-v2_Incomplete.ipynb,24,"import subprocess | 
import os | import numpy as np | import pandas as pd | import matplotlib | import matplotlib.pyplot as plt | from pathlib import Path | from datetime import datetime | 
import torch | import torch.nn as nn | import torch.nn.functional as F | from torch.utils.data import DataLoader, TensorDataset, WeightedRandomSampler | from torch.cuda.amp import autocast, GradScaler | from sklearn.metrics import accuracy_score, f1_score | from sklearn.preprocessing import LabelEncoder | from sklearn.discriminant_analysis import LinearDiscriminantAnalysis | from sklearn.svm import SVC | from sklearn.ensemble import (RandomForestClassifier, ExtraTreesClassifier, | from sklearn.neighbors import KNeighborsClassifier | from sklearn.linear_model import LogisticRegression | from sklearn.naive_bayes import GaussianNB | from sklearn.neural_network import MLPClassifier | import xgboost as xgb | 
from contextlib import contextmanager"
06-graph-former-v3.ipynb,14,"
import os | import os | import glob | import numpy as np | import pandas as pd | from pathlib import Path | from contextlib import nullcontext | 
import torch | import torch.nn as nn | import torch.nn.functional as F | from torch.utils.data import Dataset, DataLoader, WeightedRandomSampler | from torch.amp import autocast, GradScaler | from sklearn.preprocessing import StandardScaler | from sklearn.metrics import accuracy_score, f1_score"
08_final_stats_and_figures.ipynb,21,"import os | import numpy as np | import pandas as pd | from pathlib import Path | from scipy import stats | from itertools import combinations | 
import matplotlib | import matplotlib.pyplot as plt | import matplotlib.patches as mpatches | import matplotlib.ticker as mticker | from matplotlib.colors import LinearSegmentedColormap | from matplotlib.gridspec import GridSpec | import seaborn as sns | 
import json | import math | from pprint import pprint | 
import pandas as pd | 
import re | import textwrap | 
import textwrap | 
import numpy as np"
08_final_stats_and_figures_v2.ipynb,23,"
import os | import numpy as np | import pandas as pd | from pathlib import Path | from scipy import stats | from itertools import combinations | 
import matplotlib | import matplotlib.pyplot as plt | import matplotlib.patches as mpatches | import matplotlib.ticker as mticker | from matplotlib.colors import LinearSegmentedColormap | import seaborn as sns | 
import json as _json | import math | from pprint import pprint | 
from pprint import pprint | 
import math | 
from pathlib import Path | 
import re | 
import textwrap | import os | import json | import re"
09_final_results_rebuild_verified.ipynb,12,"import os | import json | import math | import warnings | from pathlib import Path | from datetime import datetime | 
import numpy as np | import pandas as pd | import matplotlib.pyplot as plt | import matplotlib as mpl |     from scipy import stats |         import re"
