notebook,status,num_cells,num_code_cells,num_markdown_cells,code_cells_with_outputs,raw_export,main_categories,defined_functions,defined_classes,absolute_paths_found
00_eda_seediv.ipynb,OK,17,16,1,16,scripts/_raw_notebook_exports/00_eda_seediv.py,preprocessing:15; figures:15; results_tables:11; model_definition:8; training:5; audit_verification:4; statistics:4; webapp_or_demo:2,"eda_done, mark_done, maybe_reshape",,C:\Users\Saif\Desktop\CSE400\C
00b_eda_faced.ipynb,OK,13,12,1,12,scripts/_raw_notebook_exports/00b_eda_faced.py,figures:11; preprocessing:11; results_tables:6; model_definition:4; training:4; audit_verification:4; webapp_or_demo:1,"eda_done, mark_done, compute_mmd, rbf_kernel",,y:\n
00c_phaseB_reproduce.ipynb,OK,23,22,1,21,scripts/_raw_notebook_exports/00c_phaseB_reproduce.py,model_definition:20; preprocessing:18; training:15; evaluation:10; results_tables:7; figures:6; audit_verification:4; webapp_or_demo:1; other:1,"ckpt_exists, save_ckpt, load_ckpt, model_ckpt_path, save_model, load_model, set_seed, make_fixed_split, __init__, forward, encode, project, classify, build_teacher, build_student, augment, mixup, nt_xent_loss, make_loader, tensors_from_split, train_contrastive, train_supervised, train_distillation, evaluate_proto_a, evaluate_proto_b, get_features","InformationSeparatedAttention, TransformerBlock, DANCEEncoder, LabelSmoothCE",
01_classical_ml.ipynb,OK,26,25,1,24,scripts/_raw_notebook_exports/01_classical_ml.py,preprocessing:14; results_tables:10; evaluation:9; figures:9; training:9; model_definition:7; audit_verification:4; other:3; statistics:1,"ensure, checkpoint_key, load_checkpoint, save_checkpoint, cvt, recovery_report, loso_split, compute_metrics, run_loso, summarise, run_model, build_lda, build_svm, build_rf, build_knn, build_lr, build_nb, build_et, build_gb, build_xgb, build_mlp, load_avg_cm, per_subject_f1",,
02_deep_models.ipynb,OK,49,31,18,25,scripts/_raw_notebook_exports/02_deep_models.py,preprocessing:29; training:29; model_definition:19; evaluation:15; results_tables:12; figures:7; audit_verification:6; statistics:2; webapp_or_demo:1,"ck_path, ck_exists, ck_save, ck_load, model_complete, weight_path, set_seed, get_data, loso_split, make_loader, train_epoch, evaluate, proto_b_calibrate, run_loso, summarise_and_save, __init__, forward, backward, project, nt_xent_loss, get_repr, update_target, byol_loss, _get_mask, encode, dance_augment, subject_mixup, run_dann, run_clisa, run_simclr, run_byol, run_pseudolabel, sharpen, run_mixmatch, split_clisa_best_fold, train_epoch_loss, val_epoch_loss_f1, train_clisa_best_fold, run_inference, _run_clisa_62ch_curve, wearable_load_ckpts, wearable_best_row, wearable_find_matching_row, wearable_mean_std, wearable_save, wearable_split, wearable_load_model, wearable_infer, wearable_row_normalize, wearable_class_recall","ShallowMLP, DeepMLP, EEG_LSTM, EEG_GRU, EEG_Conv1D, VanillaTransformer, EEGConformer, ChanDropTransformer, GradReverse, DANN, CLISA, SimCLR, BYOLEncoder, BYOL, PseudoLabelNet, MixMatchNet, DiagMaskedAttn, DANCEBlock, DANCETeacher, DANCEStudent",d:\n | t:\n
03-5-and-04b-faced-models-kaggle-v2_Incomplete.ipynb,OK,47,24,23,17,scripts/_raw_notebook_exports/03_5_and_04b_faced_models_kaggle_v2_Incomplete.py,preprocessing:20; training:14; model_definition:13; results_tables:12; evaluation:9; audit_verification:5; figures:4; other:2; webapp_or_demo:1,"ckpt_key, save_ckpt, load_ckpt, ckpt_exists, model_done_count, prep_done, mark_prep_done, save_prep, session_status, _load, get_faced_fold, prep_zscore_subject, prep_minmax_subject, prep_robust_subject, prep_zscore_clip_subject, prep_bandwise_zscore_subject, aug_gaussian_noise, aug_band_masking, aug_channel_masking, aug_region_masking, aug_subject_mixup, aug_magnitude_warp, aug_combined_seed, aug_combined_faced, run_classical_fold, maybe_autocast, __init__, __len__, __getitem__, make_loader, evaluate, proto_calibrate, proto_predict, save_best, forward, encode, backward, project, nt_xent_loss, predict, update_target, byol_loss, train_dl_loso, train_dance_teacher_fold, train_dance_student_fold","EEGDataset, ShallowMLP, DeepMLP, LSTMModel, GRUModel, Conv1DModel, VanillaTransformer, EEGConformer, ChanDropTransformer, GradientReversalFn, DANN, CLISA, SimCLR, _BYOLEnc, BYOL, PseudoLabelModel, MixMatchModel, DANCEEncoder, DANCETeacher, DANCEStudent",
06-graph-former-v3.ipynb,OK,17,15,2,0,scripts/_raw_notebook_exports/06_graph_former_v3.py,training:12; preprocessing:12; model_definition:11; results_tables:10; audit_verification:5; evaluation:4; webapp_or_demo:1,"run, sh, get_gpu_name, pip_show_version, amp_ctx, make_scaler, seed_cpu_only, ckpt_key, ckpt_path, teacher_pth, save_ckpt, load_ckpt, ckpt_complete, print_resume_banner, zscore_per_subject, forward, backward, __init__, _gcn, _make_mask, _encode, augment_sample, nt_xent_augmented, validate_class_targets_cpu, pretrain_epoch, finetune_epoch, evaluate, calibrate_and_eval, __len__, __getitem__, make_loader, get_loso_split, log_fold_error, distill_epoch, evaluate_student, calibrate_and_eval_student, aggregate_results","GradientReversalFn, GRL, AdaptiveAdjacency, BandGCN, DiagMaskedTransformer, EEGGraphFormer, GraphStudent, EEGDataset",d:\n
08_final_stats_and_figures.ipynb,OK,26,25,1,25,scripts/_raw_notebook_exports/08_final_stats_and_figures.py,preprocessing:23; results_tables:21; figures:20; evaluation:17; model_definition:16; training:9; audit_verification:6; statistics:2,"ck_path_seediv, ck_path_faced, load_json, aggregate_seediv, aggregate_faced, try_load_csv, get_deep_results, save_fig, add_value_labels, chance_line, safe_read_notebook, find_cells_containing, print_cell_snippet, get_base_path, print_path_check, inspect_df_deep_model, inspect_reference_entry, inspect_result_files, inspect_checkpoint_files, inspect_notebooks_on_disk, summary_table, aggregate_deep_summary_csv, plot_channel, get_metric, clean_name, wrap_label, normalize_emotions, plot_by_subject, plot_by_emotion, get_cm, per_subject_f1, fmt",,
08_final_stats_and_figures_v2.ipynb,OK,41,40,1,13,scripts/_raw_notebook_exports/08_final_stats_and_figures_v2.py,preprocessing:31; figures:28; results_tables:27; model_definition:26; evaluation:16; audit_verification:11; training:7; statistics:2,"ck_path_seediv, ck_path_faced, load_json, aggregate_seediv, aggregate_faced, try_load_csv, get_deep_results, save_fig, add_value_labels, add_value_labels_h, chance_line, apply_axis_style, annotate_cm, _safe_read_nb, _print_path_check, _inspect_df_deep_model, _inspect_result_files, _aggregate_deep_csv, _is_finite, _print_header, _safe_get, _show_registry, _scan_csv_for_byol, _scan_result_files, _test_aggregate_seediv, _test_get_deep_results, _plottable_summary, _explain_likely_issue, show_csv_info, has, col, _plot_channel, _get_metric, _clean_name, _wrap_label, _wrap_headline_label, _shape_of, _len_of, _exists, _show_var, read_text_file, _norm_emotions, _tsne_subject_figure, _tsne_emotion_figure, _get_cm, _save_confusion_matrix, _per_subject_f1_matrix, _save_subject_heatmap, _best_classical_model, _best_deep_model, _fallback_per_class, _get_per_class_f1, _plot_per_class_top_models, fmt",,
09_final_results_rebuild_verified.ipynb,OK,58,46,12,44,scripts/_raw_notebook_exports/09_final_results_rebuild_verified.py,audit_verification:41; results_tables:38; preprocessing:25; figures:17; evaluation:8; model_definition:7; statistics:2; training:2; other:1,"log_audit, safe_numeric, compute_mean_std, standardize_model_id, standardize_channel_label, get_model_name, save_figure, save_table",,C:\Users\Saif\Desktop\CSE400\C
10-wearkd-seediv-calibrated-clip-loso-test.ipynb,OK,64,42,22,39,scripts/_raw_notebook_exports/10_wearkd_seediv_calibrated_clip_loso_test.py,preprocessing:35; results_tables:32; evaluation:17; model_definition:15; training:11; figures:11; audit_verification:7; statistics:4; webapp_or_demo:1; other:1,"set_seed, elapsed_hours, should_stop_for_time_limit, save_json, load_json, copy_previous_run_if_available, save_figure, load_seediv_de_features, validate_dataset, resolve_channel_indices, fit_normalizer, apply_normalizer, compute_class_weights_from_labels, make_weighted_sampler, make_loso_folds, make_source_validation_split, make_clip_disjoint_calibration_split, __init__, __len__, __getitem__, make_loader, forward, save_checkpoint, load_checkpoint, save_epoch_log, _forward_and_loss_teacher, _forward_and_loss_direct_student, _forward_and_loss_distilled_student, train_one_epoch, validate_model, train_model, predict_window_level, aggregate_clip_level, evaluate_window_metrics, evaluate_clip_metrics, load_completed_folds, mark_fold_complete, is_fold_complete, build_prototypes, compute_prototype_scores, run_calibrated_eval, compute_fold_stats, fold_bacc_series, df_to_markdown, df_to_latex, save_table, plot_loss_curves, run_antileakage_audit, get_summary","EEGWindowDataset, BandEmbedding, ChannelTransformerEncoder, ProjectionHead, EEGTeacherTransformer, WearableStudentTransformer, SupConLoss, LogitKDLoss, EmbedKDLoss, RKDLoss, TeacherLoss, DirectStudentLoss, DistilledStudentLoss",
10-wearkd-seediv-calibrated-clip-loso.ipynb,OK,65,43,22,40,scripts/_raw_notebook_exports/10_wearkd_seediv_calibrated_clip_loso.py,preprocessing:36; results_tables:34; evaluation:18; model_definition:16; training:12; figures:11; statistics:6; audit_verification:5; webapp_or_demo:1; other:1,"set_seed, elapsed_hours, should_stop_for_time_limit, save_json, load_json, copy_previous_run_if_available, save_figure, load_seediv_de_features, validate_dataset, resolve_channel_indices, fit_normalizer, apply_normalizer, compute_class_weights_from_labels, make_weighted_sampler, make_loso_folds, make_source_validation_split, make_clip_disjoint_calibration_split, __init__, __len__, __getitem__, make_loader, forward, save_checkpoint, load_checkpoint, save_epoch_log, _forward_and_loss_teacher, _forward_and_loss_direct_student, _forward_and_loss_distilled_student, train_one_epoch, validate_model, train_model, predict_window_level, aggregate_clip_level, evaluate_window_metrics, evaluate_clip_metrics, load_completed_folds, mark_fold_complete, is_fold_complete, build_prototypes, compute_prototype_scores, run_calibrated_eval, _make_loader, ckpt_prefix, compute_fold_stats, fold_bacc_series, df_to_markdown, df_to_latex, save_table, plot_loss_curves, run_antileakage_audit, get_summary","EEGWindowDataset, BandEmbedding, ChannelTransformerEncoder, ProjectionHead, EEGTeacherTransformer, WearableStudentTransformer, SupConLoss, LogitKDLoss, EmbedKDLoss, RKDLoss, TeacherLoss, DirectStudentLoss, DistilledStudentLoss",
CSE400C_PhaseBC_Master.ipynb,OK,53,38,15,33,scripts/_raw_notebook_exports/CSE400C_PhaseBC_Master.py,preprocessing:33; model_definition:29; results_tables:26; training:22; evaluation:21; figures:11; audit_verification:8; statistics:4; webapp_or_demo:2,"set_global_seed, load_seed_iv_lds, apply_subject_zscore, __init__, mixup, channel_mask, add_noise, forward, _sinusoidal, forward_contrastive, get_features, __len__, __getitem__, make_loaders, weighted_sampler, train_contrastive_stage, train_supervised_stage, calibrate_subject, compute_metrics, evaluate_model_pb, run_distillation, loso_split, train_dance_fold, eval_dance, build_classical, init_weights, _embed, backward, predict, train_dann, _encode, train_clisa, train_dl_generic, build_dl_model, get_calibration_params, freeze_all_except_head, eval_dl, forward_proj, train_simclr, train_pseudo_label, train_mean_teacher, load_faced, load_deap, trial_de, cross_dataset_eval, build_ablation_teacher, run_ablation_distillation, build_ablation_teacher_recover, attention, run_ablation_distillation_recover, get_embeddings, load_csv_safe, df_to_summary, hdr","EEGAugmentor, InformationSeparatedAttention, DiagonalTransformerBlock, DANCEEncoder, DANCEModel, SEEDDataset, PairedDataset, CrossSubjectContrastiveLoss, ShallowMLP, Conv1DEEG, Conv2DEEG, BiLSTMEEG, TCNBlock, TCNEEG, VanillaTransformerEEG, ConformerEEG, TransformerChanDropEEG, GradientReversalFn, DANNEEG, CLISAEEG, SimCLREEG, AblationDANCEEncoder, AblationModel, NoSubjCS, MHSAWrapper, AblationDANCEEncoderRecover, AblationModelRecover",y:\n
dataset.ipynb,OK,2,2,0,2,scripts/_raw_notebook_exports/dataset.py,other:1; preprocessing:1; audit_verification:1,,,C:\Users\Saif\Desktop\CSE400\C
knowledge-distillation.ipynb,OK,1,1,0,0,scripts/_raw_notebook_exports/knowledge_distillation.py,preprocessing:1; model_definition:1; training:1; evaluation:1; results_tables:1; audit_verification:1; webapp_or_demo:1,"set_seed, weight_path, ck_path, ck_save, loso_split, make_loader, __init__, forward, project, nt_xent_loss, evaluate, proto_b_calibrate",CLISA,
neurosync_data_setup.ipynb,OK,12,11,1,9,scripts/_raw_notebook_exports/neurosync_data_setup.py,training:5; webapp_or_demo:5; preprocessing:5; results_tables:4; other:3; audit_verification:3; model_definition:1; figures:1,"pick_state, detect_family",,C:\Users\Saif\Desktop\CSE400\C\webapp\neurosync_webapp\neurosync\models\checkpoints\M26_6ch_best.pt | C:\Users\Saif\Desktop\CSE400\C\data\SEED_IV\ExtractedFeatures | C:\Users\Saif\Desktop\CSE400\C\webapp\neurosync_webapp\neurosync
save the pts.ipynb,OK,27,27,0,27,scripts/_raw_notebook_exports/save_the_pts.py,training:22; model_definition:18; preprocessing:17; audit_verification:17; webapp_or_demo:13; results_tables:12; evaluation:5; other:1; figures:1; statistics:1,"find_dir_by_name, count_files, recursive_find, try_load_state_dict, fmt_shape, looks_relevant, sha1_first_mb, is_relevant_pth, quick_hash, detect_mid, is_allowed_file, is_needed, metric_from_json, find_project_root, backup_file, __init__, forward, input_dim, build_clisa, detect_family, find_compose_root, extract_state_dict, macro_f1, balanced_acc, acc, label_dist, project, subset_6ch, norm_from_62_to_6, preprocess, predict_batch, eval_pair, eval_all_pairs, print_top_bottom, find_app_root, preprocess_batch, eval_checkpoint, find_training_features, build_webapp_dataset, row_hashes, overlap_ratio, counts_by_subject_label, print_dist, stats_block, find_root, backup, read, write, must_replace, regex_replace, sha256_file, find_first_by_names, score, safe_copy, print_tree","CLISAClassifier, CLISA",C:\Users\Saif\Desktop\CSE400\C | C:\Users\Saif\Downloads\g2results\checkpoints | D:\Downloads\archive\checkpoints | C:\Users\Saif\Desktop\CSE400\C\checkpoints\all_model_weights | C:\Users\Saif\Desktop\CSE400 | C:\Users\Saif\Downloads | D:\Downloads | C:\Users\Saif\Desktop\CSE400\C\checkpoints | t:\n(?: | D:\CSE400C\neurosync\neurosync
seediv_raw_clisa_first_sota_fullrun.ipynb,OK,57,31,26,28,scripts/_raw_notebook_exports/seediv_raw_clisa_first_sota_fullrun.py,preprocessing:30; results_tables:25; model_definition:18; evaluation:17; training:13; audit_verification:7; figures:4; statistics:1; webapp_or_demo:1; other:1,"set_seed, mem_stats, free_memory, config_hash, bandpass_filter, apply_notch, compute_de, compute_psd_bandpower, extract_features_from_trial, get_trial_npz_path, save_trial_features, load_trial_features, get_trial_var_map, make_loso_splits, make_cross_time_splits, __init__, _load_npz, _get_features, _augment, __len__, __getitem__, training_mode, get_labels, build_fold_datasets, subset, make_balanced_loader, forward, backward, get_model, __call__, train_one_epoch, evaluate, train_fold, get_embeddings, build_prototypes, proto_b_predict, run_loso_for_model, run_sklearn_baseline, record_run, run_cross_time, run_wearable_loso, run_distillation, df_to_markdown, save_table, savefig, generate_final_report, ck","FeatureWindowDataset, GradientReversalFunction, GRL, TinyCLISA, CLISARawMLP, ResidualBlock, CLISARawResidualMLP, CLISARawConformer, CLISASSTFallback, SupConLoss, CLISALoss, MixupAugmenter, DistillationLoss",
