item,path,status,type
README.md exists,README.md,OK,file
requirements.txt exists,requirements.txt,OK,file
environment.yml exists,environment.yml,OK,file
dataset access documentation exists,docs/dataset_access.md,OK,file
checkpoint policy exists,docs/checkpoint_policy.md,OK,file
reproducibility notes exist,docs/reproducibility_notes.md,OK,file
data split files exist,data_splits,OK,dir_nonempty
configs exist,configs,OK,dir_nonempty
verification script exists,scripts/verify_results.py,OK,file
table reproduction script exists,scripts/reproduce_tables.py,OK,file
repository readiness script exists,scripts/verify_repository.py,OK,file
final tables exist,results/final_tables,OK,dir_nonempty
reproduced tables exist,results/reproduced_tables,OK,dir_nonempty
CITATION.cff exists,CITATION.cff,OK,file
LICENSE exists,LICENSE,OK,file
