context,internal,kind,match,path,severity
"{   ""created_at"": ""2026-04-14T09:12:26"",   ""bundle_root"": ""C:\\Users\\Saif\\Desktop\\CSE400\\C\\backend_assets_clisa"",   ""files"": {     ""config\\channel_map_62_to_6.json"": {       ""size_bytes"": 27",False,windows_absolute_path,C:\\Users\\Saif\\Desktop\\CSE400\\C\\backend_assets_clisa,docs/backend_metadata/asset_manifest.json,PUBLIC_BLOCKER
y status  This repository is being prepared from the original project folder:  `C:\Users\Saif\Desktop\CSE400`  Staging generated: `2026-05-17_23-33-10`  ## Main contribution,False,windows_user_path,C:\Users\Saif,README.md,PUBLIC_BLOCKER
y status  This repository is being prepared from the original project folder:  `C:\Users\Saif\Desktop\CSE400`  Staging generated: `2026-05-17_23-33-10`  ## Main contribution  CLISA-EWU is a,False,windows_absolute_path,C:\Users\Saif\Desktop\CSE400`,README.md,PUBLIC_BLOCKER
y status  This repository is being prepared from the original project folder:  `C:\Users\Saif\Desktop\CSE400`  Staging generated: `2026-05-17_23-33-10`  ## Main contribution  CLISA-EWU is a,False,project_absolute_path,C:\Users\Saif\Desktop\CSE400`,README.md,PUBLIC_BLOCKER
l 1 Project Inventory Report  Generated: 2026-05-17_23-22-57  ## Project root  `C:\Users\Saif\Desktop\CSE400`  ## Summary  | Item | Value | |---|---:| | Total files | 14316 ,True,windows_user_path,C:\Users\Saif,results/audit/cell01_project_inventory_report.md,ALLOW_INTERNAL_REVIEW
l 1 Project Inventory Report  Generated: 2026-05-17_23-22-57  ## Project root  `C:\Users\Saif\Desktop\CSE400`  ## Summary  | Item | Value | |---|---:| | Total files | 14316 | | Total direct,True,windows_absolute_path,C:\Users\Saif\Desktop\CSE400`,results/audit/cell01_project_inventory_report.md,ALLOW_INTERNAL_REVIEW
l 1 Project Inventory Report  Generated: 2026-05-17_23-22-57  ## Project root  `C:\Users\Saif\Desktop\CSE400`  ## Summary  | Item | Value | |---|---:| | Total files | 14316 | | Total direct,True,project_absolute_path,C:\Users\Saif\Desktop\CSE400`,results/audit/cell01_project_inventory_report.md,ALLOW_INTERNAL_REVIEW
C:\Users\Saif\Desktop\CSE400 ├── B │   ├── 100percent.pdf (2.51 MB) │   ├── 100percent.pptx (,True,windows_user_path,C:\Users\Saif,results/audit/cell01_project_tree.txt,ALLOW_INTERNAL_REVIEW
C:\Users\Saif\Desktop\CSE400 ├── B │   ├── 100percent.pdf (2.51 MB) │   ├── 100percent.pptx (8.04 MB) │   ├─,True,windows_absolute_path,C:\Users\Saif\Desktop\CSE400,results/audit/cell01_project_tree.txt,ALLOW_INTERNAL_REVIEW
C:\Users\Saif\Desktop\CSE400 ├── B │   ├── 100percent.pdf (2.51 MB) │   ├── 100percent.pptx (8.04 MB) │   ├─,True,project_absolute_path,C:\Users\Saif\Desktop\CSE400,results/audit/cell01_project_tree.txt,ALLOW_INTERNAL_REVIEW
"{   ""project_root"": ""C:\\Users\\Saif\\Desktop\\CSE400"",   ""audit_dir"": ""C:\\Users\\Saif\\Desktop\\CSE400\\_repo_audit_cell01"",   ""tim",True,windows_absolute_path,C:\\Users\\Saif\\Desktop\\CSE400,results/audit/cell01_summary.json,ALLOW_INTERNAL_REVIEW
"{   ""project_root"": ""C:\\Users\\Saif\\Desktop\\CSE400"",   ""audit_dir"": ""C:\\Users\\Saif\\Desktop\\CSE400\\_repo_audit_cell01"",   ""timestamp"": ""2026-05-17_23-22-57"",   ""total_files"": 14316,   ""total_dirs"":",True,windows_absolute_path,C:\\Users\\Saif\\Desktop\\CSE400\\_repo_audit_cell01,results/audit/cell01_summary.json,ALLOW_INTERNAL_REVIEW
"8,3,""status, source, destination_or_note"",""[{""""status"""":""""COPIED"""",""""source"""":""""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\model_M11_ShallowMLP_s1_f01_best.pth"""",""""destination_or_note"""":""""C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\a",True,windows_absolute_path,C:\\Users\\Saif\\Desktop\\CSE400\\C\\checkpoints\\model_M11_ShallowMLP_s1_f01_best.pth,results/audit/cell02_csv_schemas.csv,ALLOW_INTERNAL_REVIEW
