context,match,path
",Acc_mean,Acc_std,f1_neutral,f1_sad,f1_fear,f1_happy,n_runs M01,LDA,62ch,0.4047,0.1063,0.4081,0.1074,0.4633,0.3976,0.3581,0",M01,results/final_tables/table_5_1_classical_main.csv
",0.4047,0.1063,0.4081,0.1074,0.4633,0.3976,0.3581,0.3998,45 M01,LDA,6ch,0.4345,0.1095,0.4408,0.1078,0.5123,0.4218,0.3288,0.",M01,results/final_tables/table_5_1_classical_main.csv
",0.4345,0.1095,0.4408,0.1078,0.5123,0.4218,0.3288,0.4752,45 M02,SVM (RBF),62ch,0.4763,0.0959,0.4811,0.0961,0.5617,0.4841,0.",M02,results/final_tables/table_5_1_classical_main.csv
",0.4763,0.0959,0.4811,0.0961,0.5617,0.4841,0.3907,0.4687,45 M02,SVM (RBF),6ch,0.352,0.0718,0.3653,0.0722,0.389,0.3598,0.268",M02,results/final_tables/table_5_1_classical_main.csv
"ch,0.352,0.0718,0.3653,0.0722,0.389,0.3598,0.2689,0.3904,45 M03,Random Forest,62ch,0.4648,0.131,0.4702,0.1275,0.4715,0.485,",M03,results/final_tables/table_5_1_classical_main.csv
"2ch,0.4648,0.131,0.4702,0.1275,0.4715,0.485,0.4186,0.484,45 M03,Random Forest,6ch,0.4039,0.1016,0.414,0.0978,0.4445,0.4272,",M03,results/final_tables/table_5_1_classical_main.csv
"h,0.4039,0.1016,0.414,0.0978,0.4445,0.4272,0.3388,0.4051,45 M04,k-NN,62ch,0.3408,0.0601,0.3487,0.0582,0.3009,0.3728,0.3383,",M04,results/final_tables/table_5_1_classical_main.csv
"h,0.3408,0.0601,0.3487,0.0582,0.3009,0.3728,0.3383,0.351,45 M04,k-NN,6ch,0.304,0.0475,0.3061,0.0483,0.2962,0.3028,0.2924,0.",M04,results/final_tables/table_5_1_classical_main.csv
"h,0.304,0.0475,0.3061,0.0483,0.2962,0.3028,0.2924,0.3247,45 M05,Logistic Regression,62ch,0.4148,0.115,0.4233,0.1086,0.4627,",M05,results/final_tables/table_5_1_classical_main.csv
"h,0.4148,0.115,0.4233,0.1086,0.4627,0.4405,0.3698,0.3861,45 M05,Logistic Regression,6ch,0.4257,0.103,0.4304,0.1015,0.4842,0",M05,results/final_tables/table_5_1_classical_main.csv
"ch,0.4257,0.103,0.4304,0.1015,0.4842,0.416,0.3322,0.4706,45 M06,Naive Bayes,62ch,0.3791,0.1091,0.3986,0.1044,0.4173,0.2294,",M06,results/final_tables/table_5_1_classical_main.csv
",0.3791,0.1091,0.3986,0.1044,0.4173,0.2294,0.4348,0.4349,45 M06,Naive Bayes,6ch,0.3759,0.0868,0.3834,0.0812,0.4114,0.3232,0",M06,results/final_tables/table_5_1_classical_main.csv
",0.3759,0.0868,0.3834,0.0812,0.4114,0.3232,0.3037,0.4653,45 M07,Extra Trees,62ch,0.4717,0.125,0.4765,0.123,0.4929,0.4926,0.",M07,results/final_tables/table_5_1_classical_main.csv
