source_relative_path,repo_relative_path,reason,status,size_bytes,size_human
C\results\final_tables\audit_discovered_optional_assets.csv,results\final_tables\audit_discovered_optional_assets.csv,Final paper/result tables; clean small CSVs.,COPIED,144,144.00 B
C\results\final_tables\audit_statistical_tests.csv,results\final_tables\audit_statistical_tests.csv,Final paper/result tables; clean small CSVs.,COPIED,355,355.00 B
C\results\final_tables\table_5_1_classical_main.csv,results\final_tables\table_5_1_classical_main.csv,Final paper/result tables; clean small CSVs.,COPIED,1678,1.64 KB
C\results\final_tables\table_5_2_deep_main.csv,results\final_tables\table_5_2_deep_main.csv,Final paper/result tables; clean small CSVs.,COPIED,5060,4.94 KB
C\results\final_tables\table_5_3_dance_loso_verified.csv,results\final_tables\table_5_3_dance_loso_verified.csv,Final paper/result tables; clean small CSVs.,COPIED,571,571.00 B
C\results\final_tables\table_5_3b_dance_reproduction.csv,results\final_tables\table_5_3b_dance_reproduction.csv,Final paper/result tables; clean small CSVs.,COPIED,365,365.00 B
C\results\final_tables\table_5_4_ablations.csv,results\final_tables\table_5_4_ablations.csv,Final paper/result tables; clean small CSVs.,COPIED,1805,1.76 KB
C\results\final_tables\table_5_5_proto_gain.csv,results\final_tables\table_5_5_proto_gain.csv,Final paper/result tables; clean small CSVs.,COPIED,1840,1.80 KB
C\results\final_tables\table_5_6_channel_efficiency.csv,results\final_tables\table_5_6_channel_efficiency.csv,Final paper/result tables; clean small CSVs.,COPIED,1868,1.82 KB
C\results\final_tables\table_5_7_per_class_top_models.csv,results\final_tables\table_5_7_per_class_top_models.csv,Final paper/result tables; clean small CSVs.,COPIED,1396,1.36 KB
C\results\final_tables\table_audit_sources.csv,results\final_tables\table_audit_sources.csv,Final paper/result tables; clean small CSVs.,COPIED,469,469.00 B
C\results\final_figures\png\fig_5_10_channel_efficiency_scatter.png,figures\paper\fig_5_10_channel_efficiency_scatter.png,Final paper figures generated from verified result scripts.,COPIED,241806,236.14 KB
C\results\final_figures\png\fig_5_11_channel_efficiency_retention.png,figures\paper\fig_5_11_channel_efficiency_retention.png,Final paper figures generated from verified result scripts.,COPIED,245130,239.38 KB
C\results\final_figures\png\fig_5_12_per_class_all_models.png,figures\paper\fig_5_12_per_class_all_models.png,Final paper figures generated from verified result scripts.,COPIED,310582,303.30 KB
C\results\final_figures\png\fig_5_13_per_class_top_62ch.png,figures\paper\fig_5_13_per_class_top_62ch.png,Final paper figures generated from verified result scripts.,COPIED,208598,203.71 KB
C\results\final_figures\png\fig_5_14_per_class_top_6ch.png,figures\paper\fig_5_14_per_class_top_6ch.png,Final paper figures generated from verified result scripts.,COPIED,208222,203.34 KB
C\results\final_figures\png\fig_5_1_classical_leaderboard.png,figures\paper\fig_5_1_classical_leaderboard.png,Final paper figures generated from verified result scripts.,COPIED,194962,190.39 KB
C\results\final_figures\png\fig_5_1a_classical_leaderboard_62ch.png,figures\paper\fig_5_1a_classical_leaderboard_62ch.png,Final paper figures generated from verified result scripts.,COPIED,158023,154.32 KB
