file,matched_term,row_index,row_text
results/aggregates/ablations/ablations.csv,A12,33,A12 | 1 | 0.3651363938789088 | 0.356102565068736 | 0.5551978537894031 | 0.5540054547222855
results/aggregates/ablations/ablations.csv,A12,34,A12 | 7 | 0.3664670658682635 | 0.3529314682281644 | 0.5110663983903421 | 0.5101864072559694
results/aggregates/ablations/ablations.csv,A12,35,A12 | 21 | 0.3944111776447105 | 0.3947570960444596 | 0.5099932930918847 | 0.5117666888946469
results/aggregates/ablations/ablations.csv,A13,36,A13 | 1 | 0.3580838323353293 | 0.350933528745236 | 0.5671361502347417 | 0.5662404999728943
results/aggregates/ablations/ablations.csv,A13,37,A13 | 7 | 0.3688622754491018 | 0.3529447466373206 | 0.5311871227364185 | 0.5281361295300824
results/aggregates/ablations/ablations.csv,A13,38,A13 | 21 | 0.3578176979374584 | 0.3586584366567679 | 0.4904091213950369 | 0.4924856768817519
results/aggregates/ablations/ablations.csv,A14,39,A14 | 1 | 0.3607451763140386 | 0.3607181349176943 | 0.5310529845741113 | 0.5344463476836494
results/aggregates/ablations/ablations.csv,A14,40,A14 | 7 | 0.3457085828343313 | 0.3425974074000529 | 0.4768611670020121 | 0.4737103824479401
results/aggregates/ablations/ablations.csv,A14,41,A14 | 21 | 0.3747172322022621 | 0.3727939633044516 | 0.4678739101274312 | 0.4496151446157125
results/aggregates/ablations/ablations.csv,A16,45,A16 | 1 | 0.3797737857618097 | 0.3684846888685318 | 0.541381623071764 | 0.5427138402345726
results/aggregates/ablations/ablations.csv,A16,46,A16 | 7 | 0.3681969394544245 | 0.3554240403187151 | 0.5136150234741784 | 0.5107759490512299
results/aggregates/ablations/ablations.csv,A16,47,A16 | 21 | 0.4403193612774451 | 0.4068602005289904 | 0.5176391683433937 | 0.4957731998420998
results/aggregates/ablations/ablations_before_recovery_backup.csv,A12,24,A12 | 1 | 0.3651363938789088 | 0.356102565068736 | 0.5551978537894031 | 0.5540054547222855
results/aggregates/ablations/ablations_before_recovery_backup.csv,A12,25,A12 | 7 | 0.3664670658682635 | 0.3529314682281644 | 0.5110663983903421 | 0.5101864072559694
results/aggregates/ablations/ablations_before_recovery_backup.csv,A12,26,A12 | 21 | 0.3944111776447105 | 0.3947570960444596 | 0.5099932930918847 | 0.5117666888946469
results/aggregates/ablations/ablations_before_recovery_backup.csv,A13,27,A13 | 1 | 0.3580838323353293 | 0.350933528745236 | 0.5671361502347417 | 0.5662404999728943
results/aggregates/ablations/ablations_before_recovery_backup.csv,A13,28,A13 | 7 | 0.3688622754491018 | 0.3529447466373206 | 0.5311871227364185 | 0.5281361295300824
results/aggregates/ablations/ablations_before_recovery_backup.csv,A13,29,A13 | 21 | 0.3578176979374584 | 0.3586584366567679 | 0.4904091213950369 | 0.4924856768817519
results/aggregates/ablations/ablations_before_recovery_backup.csv,A16,30,A16 | 1 | 0.3797737857618097 | 0.3684846888685318 | 0.541381623071764 | 0.5427138402345726
results/aggregates/ablations/ablations_before_recovery_backup.csv,A16,31,A16 | 7 | 0.3681969394544245 | 0.3554240403187151 | 0.5136150234741784 | 0.5107759490512299
results/aggregates/ablations/ablations_before_recovery_backup.csv,A16,32,A16 | 21 | 0.4403193612774451 | 0.4068602005289904 | 0.5176391683433937 | 0.4957731998420998
results/aggregates/ablations/ablations_partial_33rows.csv,A12,24,A12 | 1 | 0.3651363938789088 | 0.356102565068736 | 0.5551978537894031 | 0.5540054547222855
results/aggregates/ablations/ablations_partial_33rows.csv,A12,25,A12 | 7 | 0.3664670658682635 | 0.3529314682281644 | 0.5110663983903421 | 0.5101864072559694
results/aggregates/ablations/ablations_partial_33rows.csv,A12,26,A12 | 21 | 0.3944111776447105 | 0.3947570960444596 | 0.5099932930918847 | 0.5117666888946469
results/aggregates/ablations/ablations_partial_33rows.csv,A13,27,A13 | 1 | 0.3580838323353293 | 0.350933528745236 | 0.5671361502347417 | 0.5662404999728943
results/aggregates/ablations/ablations_partial_33rows.csv,A13,28,A13 | 7 | 0.3688622754491018 | 0.3529447466373206 | 0.5311871227364185 | 0.5281361295300824
results/aggregates/ablations/ablations_partial_33rows.csv,A13,29,A13 | 21 | 0.3578176979374584 | 0.3586584366567679 | 0.4904091213950369 | 0.4924856768817519
results/aggregates/ablations/ablations_partial_33rows.csv,A16,30,A16 | 1 | 0.3797737857618097 | 0.3684846888685318 | 0.541381623071764 | 0.5427138402345726
