model_id,name,ch,n_runs,acc_a_mean,acc_a_std,f1_a_mean,f1_a_std,acc_b_mean,acc_b_std,f1_b_mean,f1_b_std
M11,Shallow MLP,62ch,45,0.4764644444444443,0.104228760983529,0.4738622222222222,0.1044634761942462,0.4961066666666666,0.098344721631246,0.4929977777777778,0.0984646025203725
M11,Shallow MLP,6ch,45,0.4004466666666667,0.0875449380707884,0.39292,0.0859091740259338,0.4117999999999998,0.0869856283845472,0.4048933333333332,0.085880081297332
M12,Deep MLP,62ch,45,0.4787355555555556,0.1098406928145475,0.47626,0.1096729277940052,0.4921399999999999,0.1022750511655168,0.4887911111111111,0.1015215154585967
M12,Deep MLP,6ch,45,0.3977844444444445,0.0843311787364003,0.3887933333333334,0.0843632686120511,0.4005355555555556,0.0785705159700378,0.3955155555555555,0.0788838903808386
M13,LSTM,62ch,45,0.4298355555555556,0.1174107788058574,0.41974,0.1280037027163312,0.4312422222222222,0.1178971036132951,0.4213488888888889,0.1283501896840016
M13,LSTM,6ch,45,0.3840155555555555,0.0713238993336849,0.3760911111111111,0.0720795672163825,0.3846711111111111,0.0702031714584767,0.3773044444444444,0.0705130708565168
M14,GRU,62ch,45,0.4389777777777777,0.1059884596824512,0.4310333333333333,0.1110336312687614,0.4411422222222223,0.1054878267188142,0.4338777777777777,0.1101255562134109
M14,GRU,6ch,45,0.3756977777777777,0.0778559114614616,0.3687866666666666,0.0795635812073932,0.37768,0.0767647753026915,0.3712999999999999,0.0785070292162659
M15,Conv1D,62ch,45,0.4303244444444444,0.1235371202137522,0.4192422222222221,0.1276089418512826,0.4454644444444445,0.1062273123489853,0.4379688888888888,0.1100561671111252
M15,Conv1D,6ch,45,0.3753222222222221,0.0749665346213316,0.3664044444444444,0.0783593759417454,0.3789,0.0788365916425753,0.3728466666666666,0.0803426259556815
M16,Vanilla Transformer,62ch,45,0.4047044444444445,0.0788158814048042,0.3928888888888888,0.0821973352316966,0.4067866666666667,0.0791860197716284,0.39516,0.0825220091854288
M16,Vanilla Transformer,6ch,45,0.3684311111111112,0.0665108631667934,0.3576311111111112,0.0677566428216794,0.3709777777777777,0.0664254397080218,0.3601155555555555,0.0678817151560363
M17,EEG Conformer,62ch,45,0.4527977777777777,0.1206186260471199,0.446708888888889,0.1246046180054448,0.4594244444444444,0.1134045456751975,0.45444,0.1162682720732921
M17,EEG Conformer,6ch,45,0.3527111111111111,0.0743092194886348,0.3443133333333333,0.0790440717114653,0.3608466666666667,0.0739647938364782,0.3534733333333333,0.0784058219081396
M18,ChanDrop Transformer,62ch,45,0.4302866666666667,0.0744223072618809,0.4180444444444444,0.0801624134195854,0.4314933333333333,0.074512382741516,0.4194844444444443,0.0799893457551906
M18,ChanDrop Transformer,6ch,45,0.3907822222222221,0.062586167106888,0.3828155555555556,0.0635334341313709,0.3976933333333334,0.0628388537885164,0.3904622222222222,0.0634608694353847
M19,DANN,62ch,45,0.4583688888888889,0.1132594684426833,0.4547377777777777,0.1155204434660197,0.6618955555555556,0.0915210853885981,0.6542866666666666,0.095447433414705
M19,DANN,6ch,45,0.3964111111111111,0.0919629080915042,0.3863266666666667,0.0917054211741447,0.5903822222222223,0.0730580102287617,0.5794555555555556,0.0791045986353039
CLISA-EWU,CLISA,62ch,45,0.4844977777777778,0.1175486871835915,0.4797066666666666,0.1197953641537404,0.6800511111111113,0.090106733736422,0.6742266666666666,0.0931275967301168
CLISA-EWU,CLISA,6ch,45,0.4054577777777777,0.0749479531192658,0.3979288888888888,0.0761245588798152,0.6199222222222223,0.0744445427784666,0.6114088888888888,0.0769981015770171
M21,SimCLR,62ch,45,0.4114244444444445,0.0935140464790658,0.4059488888888888,0.0954625405405945,0.5745466666666666,0.0848323817890314,0.5568133333333333,0.0895621840855939
M21,SimCLR,6ch,45,0.4464555555555556,0.1067420394212045,0.4405422222222221,0.109192799647914,0.60196,0.0972272908750886,0.582211111111111,0.1083913977260654
BYOL,BYOL,62ch,45,0.4307933333333332,0.0976833785991529,0.4225288888888889,0.1059074716701119,0.6089222222222223,0.090620454466289,0.5944444444444446,0.0977875957823326
BYOL,BYOL,6ch,45,0.4403266666666665,0.1038034646470303,0.4327600000000001,0.1042934679380518,0.6124333333333334,0.092766686810612,0.5976533333333335,0.0974070386667112
M23,PseudoLabel,62ch,45,0.4682,0.1152572793993744,0.46564,0.1168425463449151,0.6574111111111112,0.0855794055042721,0.6538088888888888,0.0854434789847072
M23,PseudoLabel,6ch,45,0.4046777777777777,0.0946538331569996,0.3943466666666667,0.0951528354328398,0.6101888888888888,0.0842554374350625,0.5998622222222223,0.088848334227207
M24,MixMatch,62ch,45,0.2853266666666667,0.0787370462650552,0.2428577777777777,0.0811549765708931,0.5350044444444444,0.1018478186394591,0.5216666666666666,0.1093684743507843
M24,MixMatch,6ch,45,0.2703577777777778,0.0703835288353257,0.2262955555555555,0.0653887116875811,0.3642288888888889,0.0746238343055665,0.3342644444444445,0.0698285535357055
