model_id,name,ch,delta_acc,delta_f1
M11,Shallow MLP,62ch,0.019642222222222228,0.019135555555555628
M11,Shallow MLP,6ch,0.011353333333333104,0.011973333333333225
M12,Deep MLP,62ch,0.013404444444444275,0.012531111111111048
M12,Deep MLP,6ch,0.002751111111111093,0.0067222222222221295
M13,LSTM,62ch,0.0014066666666665562,0.0016088888888889374
M13,LSTM,6ch,0.0006555555555555759,0.001213333333333344
M14,GRU,62ch,0.00216444444444458,0.0028444444444444272
M14,GRU,6ch,0.0019822222222223296,0.0025133333333333674
M15,Conv1D,62ch,0.015140000000000042,0.01872666666666667
M15,Conv1D,6ch,0.003577777777777902,0.006442222222222238
M16,Vanilla Transformer,62ch,0.002082222222222263,0.0022711111111112237
M16,Vanilla Transformer,6ch,0.0025466666666665305,0.0024844444444443448
M17,EEG Conformer,62ch,0.00662666666666667,0.0077311111111110775
M17,EEG Conformer,6ch,0.008135555555555618,0.009160000000000001
M18,ChanDrop Transformer,62ch,0.0012066666666665782,0.0014399999999999413
M18,ChanDrop Transformer,6ch,0.006911111111111257,0.007646666666666635
M19,DANN,62ch,0.2035266666666667,0.1995488888888889
M19,DANN,6ch,0.1939711111111111,0.1931288888888889
M20,CLISA,62ch,0.19555333333333347,0.19451999999999997
M20,CLISA,6ch,0.2144644444444445,0.21347999999999995
M21,SimCLR,62ch,0.16312222222222217,0.1508644444444444
M21,SimCLR,6ch,0.15550444444444445,0.14166888888888884
M22,BYOL,62ch,0.178128888888889,0.17191555555555565
M22,BYOL,6ch,0.17210666666666685,0.1648933333333334
M23,PseudoLabel,62ch,0.1892111111111111,0.18816888888888877
M23,PseudoLabel,6ch,0.20551111111111103,0.20551555555555562
M24,MixMatch,62ch,0.24967777777777772,0.2788088888888889
M24,MixMatch,6ch,0.09387111111111107,0.10796888888888895
M25,DANCE Teacher,62ch,0.09969999999999984,0.09495111111111121
M26,DANCE Student,6ch,0.18052,0.1636777777777777
