model_id,name,primary_62,primary_6,retention_primary,family,paired_distillation
M01,LDA,0.4047,0.4345,1.0736347912033606,classical,nan
M02,SVM (RBF),0.4763,0.352,0.7390300230946881,classical,nan
M03,Random Forest,0.4648,0.4039,0.8689759036144578,classical,nan
M04,k-NN,0.3408,0.304,0.892018779342723,classical,nan
M05,Logistic Regression,0.4148,0.4257,1.026277724204436,classical,nan
M06,Naive Bayes,0.3791,0.3759,0.9915589554207334,classical,nan
M07,Extra Trees,0.4717,0.4076,0.8641085435658258,classical,nan
M08,Gradient Boosting,0.4765,0.4152,0.8713536201469045,classical,nan
XGBoost,XGBoost,0.4791,0.4089,0.8534752661239824,classical,nan
M10,MLP (sklearn),0.479,0.3978,0.8304801670146138,classical,nan
M11,Shallow MLP,0.4961066666666666,0.4117999999999998,0.8300634272199525,deep,nan
M12,Deep MLP,0.4921399999999999,0.4005355555555556,0.8138650700116952,deep,nan
M13,LSTM,0.4312422222222222,0.3846711111111111,0.8920070700147894,deep,nan
M14,GRU,0.4411422222222223,0.37768,0.8561411285853894,deep,nan
M15,Conv1D,0.4454644444444445,0.3789,0.8505729351139136,deep,nan
M16,Vanilla Transformer,0.4067866666666667,0.3709777777777777,0.9119713308641164,deep,nan
M17,EEG Conformer,0.4594244444444444,0.3608466666666667,0.7854320139691693,deep,nan
M18,ChanDrop Transformer,0.4314933333333333,0.3976933333333334,0.9216673876769051,deep,nan
M19,DANN,0.6618955555555556,0.5903822222222223,0.8919567706217497,deep,nan
CLISA-EWU,CLISA,0.6800511111111113,0.6199222222222223,0.9115818092104186,deep,nan
M21,SimCLR,0.5745466666666666,0.60196,1.047712979508482,deep,nan
BYOL,BYOL,0.6089222222222223,0.6124333333333334,1.0057661076948343,deep,nan
M23,PseudoLabel,0.6574111111111112,0.6101888888888888,0.9281694187638376,deep,nan
M24,MixMatch,0.5350044444444444,0.3642288888888889,0.6807960058483419,deep,nan
DANCE Teacher->DANCE Student,DANCE Teacher->Student,0.5189577777777777,0.5706111111111112,1.0995328243359557,dance,True
