model id,name,ch,F1 mean,F1 std,Acc mean,Acc std,f1 neutral,f1 sad,f1 fear,f1 happy,n runs
M01,LDA,62ch,0.4047,0.1063,0.4081,0.1074,0.4633,0.3976,0.3581,0.3998,45.0
M01,LDA,6ch,0.4345,0.1095,0.4408,0.1078,0.5123,0.4218,0.3288,0.4752,45.0
M02,SVM (RBF),62ch,0.4763,0.0959,0.4811,0.0961,0.5617,0.4841,0.3907,0.4687,45.0
M02,SVM (RBF),6ch,0.352,0.0718,0.3653,0.0722,0.389,0.3598,0.2689,0.3904,45.0
M03,Random Forest,62ch,0.4648,0.131,0.4702,0.1275,0.4715,0.485,0.4186,0.484,45.0
M03,Random Forest,6ch,0.4039,0.1016,0.414,0.0978,0.4445,0.4272,0.3388,0.4051,45.0
M04,k-NN,62ch,0.3408,0.0601,0.3487,0.0582,0.3009,0.3728,0.3383,0.351,45.0
M04,k-NN,6ch,0.304,0.0475,0.3061,0.0483,0.2962,0.3028,0.2924,0.3247,45.0
M05,Logistic Regression,62ch,0.4148,0.115,0.4233,0.1086,0.4627,0.4405,0.3698,0.3861,45.0
M05,Logistic Regression,6ch,0.4257,0.103,0.4304,0.1015,0.4842,0.416,0.3322,0.4706,45.0
M06,Naive Bayes,62ch,0.3791,0.1091,0.3986,0.1044,0.4173,0.2294,0.4348,0.4349,45.0
M06,Naive Bayes,6ch,0.3759,0.0868,0.3834,0.0812,0.4114,0.3232,0.3037,0.4653,45.0
M07,Extra Trees,62ch,0.4717,0.125,0.4765,0.123,0.4929,0.4926,0.4161,0.4851,45.0
M07,Extra Trees,6ch,0.4076,0.0977,0.4195,0.0935,0.4338,0.444,0.337,0.4155,45.0
M08,Gradient Boosting,62ch,0.4765,0.1298,0.4821,0.1299,0.5073,0.508,0.4142,0.4767,45.0
M08,Gradient Boosting,6ch,0.4152,0.0871,0.4221,0.0859,0.4537,0.4134,0.3784,0.4151,45.0
XGBoost,XGBoost,62ch,0.4791,0.1321,0.4844,0.1323,0.4933,0.5216,0.4153,0.4862,45.0
XGBoost,XGBoost,6ch,0.4089,0.0919,0.4162,0.0893,0.4527,0.3969,0.3711,0.4149,45.0
M10,MLP (sklearn),62ch,0.479,0.1169,0.4825,0.1161,0.5406,0.4823,0.3949,0.4983,45.0
M10,MLP (sklearn),6ch,0.3978,0.083,0.4116,0.0816,0.4173,0.4142,0.3313,0.4282,45.0
