model id,name,primary 62,primary 6,retention primary,family,paired distillation
M01,LDA,0.4047,0.4345,1.074,classical,nan
M02,SVM (RBF),0.4763,0.352,0.739,classical,nan
M03,Random Forest,0.4648,0.4039,0.869,classical,nan
M04,k-NN,0.3408,0.304,0.892,classical,nan
M05,Logistic Regression,0.4148,0.4257,1.026,classical,nan
M06,Naive Bayes,0.3791,0.3759,0.9916,classical,nan
M07,Extra Trees,0.4717,0.4076,0.8641,classical,nan
M08,Gradient Boosting,0.4765,0.4152,0.8714,classical,nan
XGBoost,XGBoost,0.4791,0.4089,0.8535,classical,nan
M10,MLP (sklearn),0.479,0.3978,0.8305,classical,nan
M11,Shallow MLP,0.4961,0.4118,0.8301,deep,nan
M12,Deep MLP,0.4921,0.4005,0.8139,deep,nan
M13,LSTM,0.4312,0.3847,0.892,deep,nan
M14,GRU,0.4411,0.3777,0.8561,deep,nan
M15,Conv1D,0.4455,0.3789,0.8506,deep,nan
M16,Vanilla Transformer,0.4068,0.371,0.912,deep,nan
M17,EEG Conformer,0.4594,0.3608,0.7854,deep,nan
M18,ChanDrop Transformer,0.4315,0.3977,0.9217,deep,nan
M19,DANN,0.6619,0.5904,0.892,deep,nan
CLISA-EWU,CLISA,0.6801,0.6199,0.9116,deep,nan
M21,SimCLR,0.5745,0.602,1.048,deep,nan
BYOL,BYOL,0.6089,0.6124,1.006,deep,nan
M23,PseudoLabel,0.6574,0.6102,0.9282,deep,nan
M24,MixMatch,0.535,0.3642,0.6808,deep,nan
DANCE Teacher->DANCE Student,DANCE Teacher->Student,0.519,0.5706,1.1,dance,True
